Game,Country,Number of Users,Average Rating
Magic: The Gathering,Netherlands,25,7.45
Magic: The Gathering,New Zealand,9,5.71
Magic: The Gathering,Norway,14,8.25
Magic: The Gathering,Peru,2,8.50
Magic: The Gathering,Philippines,2,9.50
Magic: The Gathering,Poland,48,7.84
Magic: The Gathering,Portugal,20,7.91
Magic: The Gathering,Qatar,2,8.50
Magic: The Gathering,Romania,8,8.50
Magic: The Gathering,Russia,16,7.75
Magic: The Gathering,Scotland,2,5.75
Magic: The Gathering,Serbia,4,7.63
Magic: The Gathering,Singapore,6,7.47
Magic: The Gathering,Slovenia,3,8.33
Magic: The Gathering,South Africa,5,7.00
Magic: The Gathering,South Korea,13,7.65
Magic: The Gathering,Spain,112,7.71
Magic: The Gathering,Sweden,37,7.12
Magic: The Gathering,Switzerland,7,8.86
Magic: The Gathering,Taiwan,12,8.63
Magic: The Gathering,Thailand,5,9.00
Magic: The Gathering,Turkey,1,9.00
Magic: The Gathering,Uganda,1,9.50
Magic: The Gathering,Ukraine,2,4.45
Magic: The Gathering,United Kingdom,111,7.48
Magic: The Gathering,USA,1144,7.73
Magic: The Gathering,Uruguay,1,8.50
Magic: The Gathering,Venezuela,2,9.50
Magic: The Gathering,Wales,2,10.00
Memoir '44,Argentina,4,5.88
Memoir '44,Australia,44,7.85
Memoir '44,Austria,3,8.33
Memoir '44,Belarus,2,7.50
Memoir '44,Belgium,31,8.05
Memoir '44,Brazil,23,8.35
Memoir '44,Brunei,1,8.00
Memoir '44,Bulgaria,2,8.50
Memoir '44,Canada,172,7.85
Memoir '44,Chile,1,7.00
Memoir '44,China,9,7.74
Memoir '44,Colombia,1,8.50
Memoir '44,Croatia,5,9.40
Memoir '44,Czech Republic,10,7.40
Memoir '44,Denmark,15,8.61
Memoir '44,England,8,8.00
Memoir '44,Estonia,2,8.70
Memoir '44,Finland,24,7.56
Memoir '44,France,13,7.36
Memoir '44,Germany,54,7.55
Memoir '44,Greece,14,8.20
Memoir '44,Hong Kong,8,8.19
Memoir '44,Hungary,6,7.75
Memoir '44,Iceland,2,9.00
Memoir '44,India,4,7.88
Memoir '44,Indonesia,3,8.67
Memoir '44,Ireland,6,8.83
Memoir '44,Isle of Man,1,9.00
Memoir '44,Israel,4,8.75
Memoir '44,Italy,39,7.76
Memoir '44,Japan,8,5.88
Memoir '44,Latvia,3,8.33
Memoir '44,Lithuania,7,8.71
Memoir '44,Luxembourg,2,7.75
Memoir '44,Malaysia,8,7.68
Memoir '44,Mexico,1,8.00
Memoir '44,Netherlands,27,8.14
Memoir '44,New Zealand,12,7.54
Memoir '44,Norway,19,8.17
Memoir '44,Peru,1,8.00
Memoir '44,Philippines,3,6.67
Memoir '44,Poland,26,7.82
Memoir '44,Portugal,13,7.63
Memoir '44,Qatar,2,8.60
Memoir '44,Romania,7,9.00
Memoir '44,Russia,13,7.69
Memoir '44,Saudi Arabia,1,8.00
Memoir '44,Scotland,4,8.25
Memoir '44,Serbia,3,8.67
Memoir '44,Singapore,8,6.36
Memoir '44,Slovenia,3,9.00
Memoir '44,South Africa,10,7.85
Memoir '44,South Korea,10,6.95
Memoir '44,Spain,66,8.12
Memoir '44,Sweden,28,7.53
Memoir '44,Switzerland,7,8.07
Memoir '44,Taiwan,13,8.65
Memoir '44,Thailand,4,6.93
Memoir '44,Turkey,2,8.50
Memoir '44,Ukraine,4,8.50
Memoir '44,United Kingdom,84,7.74
Memoir '44,USA,988,7.81
Memoir '44,Wales,1,7.00
Modern Art,Argentina,4,6.63
Modern Art,Australia,38,7.43
Modern Art,Austria,10,7.60
Modern Art,Belgium,14,8.04
Modern Art,Brazil,38,8.06
Modern Art,Canada,109,7.64
Modern Art,Chile,1,6.80
Modern Art,China,26,7.64
Modern Art,Colombia,2,9.00
Modern Art,Czech Republic,3,6.50
Modern Art,Denmark,4,7.25
Modern Art,Ecuador,1,8.00
Modern Art,England,5,7.25
Modern Art,Estonia,5,7.90
Modern Art,Finland,44,7.58
Modern Art,France,20,7.81
Modern Art,Germany,75,7.44
Modern Art,Greece,22,7.71
Modern Art,Hong Kong,10,8.01
Modern Art,Hungary,7,7.43
Modern Art,India,2,7.75
Modern Art,Indonesia,3,7.00
Modern Art,Ireland,4,6.95
Modern Art,Isle of Man,1,8.00
Modern Art,Israel,5,8.40
Modern Art,Italy,33,7.46
Modern Art,Japan,40,8.02
Modern Art,Latvia,2,7.25
Modern Art,Lithuania,2,6.00
Modern Art,Luxembourg,2,6.25
Modern Art,Malaysia,5,7.20
Modern Art,Mexico,6,8.33
Modern Art,Moldova,1,7.00
Modern Art,Netherlands,18,7.64
Modern Art,New Zealand,10,7.85
Modern Art,Norway,15,7.90
Modern Art,Philippines,4,8.50
Modern Art,Poland,30,7.46
Modern Art,Portugal,11,7.97
Modern Art,Qatar,1,7.80
Modern Art,Russia,1,7.00
Modern Art,Saudi Arabia,1,9.00
Modern Art,Scotland,2,8.00
Modern Art,Serbia,1,7.50
Modern Art,Singapore,10,8.62
Modern Art,Slovakia,1,7.00
Modern Art,Slovenia,2,8.25
Modern Art,South Africa,1,7.00
Modern Art,South Korea,30,8.33
Modern Art,Spain,57,7.56
Modern Art,Sweden,18,7.36
Modern Art,Switzerland,6,7.42
Modern Art,Taiwan,31,7.92
Modern Art,Thailand,4,8.00
Modern Art,Ukraine,1,4.00
Modern Art,United Kingdom,76,7.42
Modern Art,USA,729,7.61
Modern Art,Venezuela,1,9.00
Modern Art,Wales,1,10.00
Monopoly,Albania,1,1.00
Monopoly,American Samoa,1,9.00
Monopoly,Andorra,1,6.00
Monopoly,Argentina,6,4.33
Monopoly,Australia,76,4.53
Monopoly,Austria,10,4.00
Monopoly,Belgium,30,5.29
Monopoly,Brazil,43,4.92
Monopoly,Bulgaria,5,6.20
Monopoly,Canada,218,4.94
Monopoly,Chile,6,5.67
Monopoly,China,9,5.78
Monopoly,Colombia,3,5.00
Monopoly,Costa Rica,1,6.00
Monopoly,Croatia,7,4.71
Monopoly,Czech Republic,4,4.88
Monopoly,Denmark,17,4.50
Monopoly,England,8,5.44
Monopoly,Estonia,8,5.56
Monopoly,Finland,40,4.65
Monopoly,France,15,3.79
Monopoly,Germany,107,4.59
Monopoly,Greece,27,6.06
Monopoly,Guam,1,4.00
Monopoly,Guatemala,1,1.00
Monopoly,Honduras,1,7.00
Monopoly,Hong Kong,5,6.60
Monopoly,Hungary,11,5.18
Monopoly,Indonesia,2,5.50
Monopoly,Ireland,7,3.43
Monopoly,Israel,7,3.57
Monopoly,Italy,55,6.00
Monopoly,Japan,15,5.47
Monopoly,Latvia,3,5.67
Monopoly,Lithuania,6,4.33
Monopoly,Luxembourg,1,1.00
Monopoly,Macedonia,2,6.50
Monopoly,Malaysia,5,3.50
Monopoly,Mexico,11,5.62
Monopoly,Netherlands,59,5.51
Monopoly,New Zealand,16,4.56
Monopoly,Norway,17,4.47
Monopoly,Peru,2,4.00
Monopoly,Philippines,6,5.33
Monopoly,Poland,41,4.52
Monopoly,Portugal,21,5.58
Monopoly,Qatar,2,4.30
Monopoly,Romania,10,6.30
Monopoly,Russia,9,5.14
Monopoly,Saudi Arabia,1,7.00
Monopoly,Scotland,4,4.25
Monopoly,Serbia,4,4.25
Monopoly,Singapore,6,3.50
Monopoly,Slovenia,3,5.33
Monopoly,South Africa,6,5.00
Monopoly,South Korea,14,5.76
Monopoly,Spain,66,5.14
Monopoly,Sri Lanka,1,5.00
Monopoly,Sweden,49,4.54
Monopoly,Switzerland,4,4.75
Monopoly,Taiwan,5,6.90
Monopoly,Thailand,2,6.50
Monopoly,Turkey,2,6.50
Monopoly,Ukraine,2,6.00
Monopoly,United Kingdom,115,4.63
Monopoly,USA,1302,5.02
Monopoly,Venezuela,1,8.00
Monopoly,Vietnam,1,3.00
Mr. Jack,American Samoa,1,8.00
Mr. Jack,Andorra,1,6.00
Mr. Jack,Argentina,1,8.00
Mr. Jack,Australia,31,7.43
Mr. Jack,Austria,6,7.67
Mr. Jack,Belgium,25,7.52
Mr. Jack,Brazil,21,7.86
Mr. Jack,Bulgaria,2,8.00
Mr. Jack,Canada,90,7.40
Mr. Jack,Chile,3,7.50
Mr. Jack,China,22,7.63
Mr. Jack,Colombia,1,7.50
Mr. Jack,Croatia,1,7.00
Mr. Jack,Czech Republic,4,7.25
Mr. Jack,Denmark,6,6.50
Mr. Jack,England,7,7.29
Mr. Jack,Estonia,6,6.25
Mr. Jack,Finland,15,7.23
Mr. Jack,France,25,7.46
Mr. Jack,Germany,56,7.04
Mr. Jack,Greece,23,7.23
Mr. Jack,Hong Kong,4,7.38
Mr. Jack,Hungary,5,7.00
Mr. Jack,India,1,7.00
Mr. Jack,Indonesia,4,7.63
Mr. Jack,Ireland,3,7.83
Mr. Jack,Israel,6,7.42
Mr. Jack,Italy,20,7.68
Mr. Jack,Japan,9,6.67
Mr. Jack,Latvia,5,6.04
Mr. Jack,Lithuania,4,5.00
Mr. Jack,Luxembourg,2,7.85
Mr. Jack,Malaysia,4,6.75
Mr. Jack,Mexico,2,9.00
Mr. Jack,Moldova,1,10.00
Mr. Jack,Netherlands,15,6.93
Mr. Jack,New Zealand,6,7.50
Mr. Jack,Norway,11,7.23
Mr. Jack,Philippines,1,4.00
Mr. Jack,Poland,26,7.34
Mr. Jack,Portugal,11,7.07
Mr. Jack,Qatar,1,5.20
Mr. Jack,Romania,8,8.13
Mr. Jack,Russia,11,7.09
Mr. Jack,Saudi Arabia,1,7.00
Mr. Jack,Scotland,1,9.00
Mr. Jack,Serbia,1,8.00
Mr. Jack,Singapore,4,7.31
Mr. Jack,Slovenia,1,8.50
Mr. Jack,South Korea,8,6.63
Mr. Jack,Spain,64,7.69
Mr. Jack,Sweden,14,7.05
Mr. Jack,Switzerland,4,8.13
Mr. Jack,Taiwan,15,7.73
Mr. Jack,Thailand,7,6.64
Mr. Jack,Turkey,2,8.00
Mr. Jack,Ukraine,1,8.00
Mr. Jack,United Kingdom,35,6.89
Mr. Jack,USA,489,7.29
Mr. Jack,Wales,2,7.00
Munchkin,Andorra,1,7.00
Munchkin,Argentina,14,7.25
Munchkin,Australia,70,6.33
Munchkin,Austria,11,5.82
Munchkin,Belarus,4,6.38
Munchkin,Belgium,25,6.88
Munchkin,Bolivia,1,7.00
Munchkin,Brazil,69,7.52
Munchkin,Bulgaria,4,6.00
Munchkin,Canada,254,6.69
Munchkin,Chile,10,7.33
Munchkin,China,10,6.50
Munchkin,Colombia,1,7.50
Munchkin,Costa Rica,1,8.00
Munchkin,Croatia,3,6.67
Munchkin,Czech Republic,3,7.67
Munchkin,Denmark,13,6.96
Munchkin,England,8,7.00
Munchkin,Estonia,3,6.33
Munchkin,Finland,28,5.50
Munchkin,France,20,6.14
Munchkin,Germany,133,6.95
Munchkin,Greece,46,6.89
Munchkin,Hong Kong,8,6.00
Munchkin,Hungary,13,6.27
Munchkin,Indonesia,3,7.00
Munchkin,Ireland,8,7.38
Munchkin,Israel,16,5.96
Munchkin,Italy,51,6.29
Munchkin,Japan,4,4.00
Munchkin,Latvia,3,5.67
Munchkin,Lithuania,2,6.50
Munchkin,Malaysia,3,7.30
Munchkin,Malta,2,7.50
Munchkin,Mexico,11,8.00
Munchkin,Netherlands,42,6.32
Munchkin,New Zealand,8,6.31
Munchkin,Norway,11,5.68
Munchkin,Paraguay,1,6.00
Munchkin,Peru,1,8.00
Munchkin,Philippines,4,6.50
Munchkin,Poland,60,6.95
Munchkin,Portugal,8,7.63
Munchkin,Qatar,2,6.00
Munchkin,Romania,4,8.63
Munchkin,Russia,22,6.73
Munchkin,Scotland,5,7.20
Munchkin,Serbia,3,7.17
Munchkin,Singapore,4,3.25
Munchkin,Slovakia,2,8.00
Munchkin,Slovenia,1,6.00
Munchkin,South Africa,3,7.33
Munchkin,South Korea,3,5.00
Munchkin,Spain,131,6.10
Munchkin,Sweden,47,5.95
Munchkin,Switzerland,7,7.86
Munchkin,Taiwan,7,6.61
Munchkin,Thailand,2,7.75
Munchkin,Turkey,3,8.17
Munchkin,Ukraine,10,7.20
Munchkin,United Kingdom,134,6.49
Munchkin,USA,1411,6.48
Munchkin,Uruguay,1,9.00
Munchkin,Wales,1,5.00
Mysterium,Andorra,1,9.00
Mysterium,Argentina,6,8.33
Mysterium,Australia,30,7.51
Mysterium,Austria,7,7.14
Mysterium,Belgium,18,7.68
Mysterium,Brazil,20,7.68
Mysterium,Bulgaria,8,6.81
Mysterium,Canada,84,7.87
Mysterium,Chile,4,8.25
Mysterium,China,7,6.99
Mysterium,Colombia,3,8.33
Mysterium,Croatia,5,7.60
Mysterium,Czech Republic,4,7.25
Mysterium,Denmark,5,8.80
Mysterium,England,5,6.60
Mysterium,Finland,8,7.59
Mysterium,France,18,7.78
Mysterium,Germany,67,7.57
Mysterium,Greece,24,8.06
Mysterium,Hong Kong,3,6.17
Mysterium,Hungary,2,5.50
Mysterium,India,2,7.50
Mysterium,Indonesia,1,9.00
Mysterium,Ireland,3,8.33
Mysterium,Isle of Man,1,9.00
Mysterium,Israel,3,7.20
Mysterium,Italy,7,7.21
Mysterium,Japan,14,6.86
Mysterium,Latvia,2,8.50
Mysterium,Lithuania,4,6.75
Mysterium,Luxembourg,2,8.25
Mysterium,Macedonia,2,8.00
Mysterium,Malaysia,2,6.00
Mysterium,Mexico,9,8.17
Mysterium,Moldova,1,7.00
Mysterium,Netherlands,10,7.72
Mysterium,New Zealand,3,8.00
Mysterium,Norway,6,7.00
Mysterium,Other-Middle East,1,9.00
Mysterium,Peru,1,9.00
Mysterium,Philippines,3,6.67
Mysterium,Poland,3,8.00
Mysterium,Portugal,16,7.59
Mysterium,Qatar,1,5.40
Mysterium,Romania,9,8.46
Mysterium,Russia,2,5.50
Mysterium,Scotland,2,9.00
Mysterium,Serbia,4,6.50
Mysterium,Slovenia,2,9.00
Mysterium,South Korea,4,7.60
Mysterium,Spain,68,7.59
Mysterium,Sweden,14,7.03
Mysterium,Switzerland,6,6.67
Mysterium,Taiwan,5,7.40
Mysterium,Thailand,4,6.75
Mysterium,Ukraine,1,8.90
Mysterium,United Kingdom,70,7.58
Mysterium,USA,462,7.53
Mysterium,Venezuela,2,7.50
Mysterium,Vietnam,1,8.25
Mysterium,Wales,1,9.00
No Thanks!,American Samoa,1,7.50
No Thanks!,Argentina,4,5.75
No Thanks!,Australia,57,7.32
No Thanks!,Austria,6,6.83
No Thanks!,Belarus,1,3.00
No Thanks!,Belgium,14,6.91
No Thanks!,Brazil,18,7.27
No Thanks!,Brunei,1,9.00
No Thanks!,Canada,129,7.27
No Thanks!,Chile,5,6.78
No Thanks!,China,4,6.75
No Thanks!,Colombia,2,7.00
No Thanks!,Czech Republic,3,6.00
No Thanks!,Denmark,7,6.29
No Thanks!,England,7,6.79
No Thanks!,Estonia,2,7.00
No Thanks!,Finland,16,7.25
No Thanks!,France,18,6.97
No Thanks!,Germany,53,7.39
No Thanks!,Greece,16,6.72
No Thanks!,Guatemala,1,8.00
No Thanks!,Hong Kong,7,7.00
No Thanks!,Hungary,7,6.71
No Thanks!,Iceland,1,7.50
No Thanks!,India,3,6.67
No Thanks!,Indonesia,1,8.00
No Thanks!,Ireland,4,7.13
No Thanks!,Israel,3,7.33
No Thanks!,Italy,18,7.52
No Thanks!,Japan,29,6.87
No Thanks!,Latvia,4,7.25
No Thanks!,Lithuania,5,8.60
No Thanks!,Luxembourg,1,8.00
No Thanks!,Malaysia,5,7.36
No Thanks!,Mexico,3,5.67
No Thanks!,Netherlands,17,7.15
No Thanks!,New Zealand,16,7.27
No Thanks!,Norway,10,7.50
No Thanks!,Philippines,4,7.00
No Thanks!,Poland,16,7.61
No Thanks!,Portugal,8,7.43
No Thanks!,Romania,2,6.50
No Thanks!,Russia,6,7.75
No Thanks!,Saudi Arabia,1,7.00
No Thanks!,Scotland,2,8.00
No Thanks!,Serbia,6,8.33
No Thanks!,Singapore,7,7.23
No Thanks!,Slovenia,1,7.00
No Thanks!,South Africa,3,7.00
No Thanks!,South Korea,15,7.19
No Thanks!,Spain,59,7.14
No Thanks!,Sweden,20,7.85
No Thanks!,Switzerland,5,6.90
No Thanks!,Taiwan,9,7.72
No Thanks!,Thailand,9,7.94
No Thanks!,Ukraine,1,10.00
No Thanks!,United Kingdom,62,7.64
No Thanks!,USA,687,7.36
No Thanks!,Vietnam,1,7.00
No Thanks!,Wales,2,7.50
Notre Dame,American Samoa,1,9.00
Notre Dame,Argentina,1,9.00
Notre Dame,Australia,25,7.54
Notre Dame,Austria,7,7.71
Notre Dame,Belarus,1,7.00
Notre Dame,Belgium,20,8.09
Notre Dame,Brazil,23,7.88
Notre Dame,Brunei,1,8.00
Notre Dame,Canada,65,7.60
Notre Dame,Chile,2,8.75
Notre Dame,China,12,8.00
Notre Dame,Colombia,1,8.00
Notre Dame,Czech Republic,10,7.95
Notre Dame,Denmark,2,9.00
Notre Dame,England,5,7.30
Notre Dame,Estonia,2,9.00
Notre Dame,Finland,16,8.38
Notre Dame,France,17,7.64
Notre Dame,Germany,90,7.82
Notre Dame,Greece,20,7.99
Notre Dame,Hong Kong,8,8.46
Notre Dame,Hungary,6,7.50
Notre Dame,Iceland,1,8.00
Notre Dame,Ireland,3,6.50
Notre Dame,Israel,7,8.29
Notre Dame,Italy,36,7.59
Notre Dame,Japan,18,6.89
Notre Dame,Latvia,2,7.25
Notre Dame,Lithuania,1,7.00
Notre Dame,Luxembourg,1,9.00
Notre Dame,Malaysia,1,9.50
Notre Dame,Mexico,1,7.20
Notre Dame,Moldova,1,7.00
Notre Dame,Netherlands,13,7.74
Notre Dame,New Zealand,8,7.71
Notre Dame,Norway,9,7.47
Notre Dame,Peru,1,8.50
Notre Dame,Philippines,1,4.00
Notre Dame,Poland,22,7.61
Notre Dame,Portugal,7,6.84
Notre Dame,Qatar,1,7.00
Notre Dame,Romania,3,9.00
Notre Dame,Russia,4,7.76
Notre Dame,Scotland,2,7.50
Notre Dame,Singapore,2,8.00
Notre Dame,Slovakia,1,9.00
Notre Dame,South Africa,2,7.00
Notre Dame,South Korea,17,8.11
Notre Dame,Spain,48,8.03
Notre Dame,Sweden,14,7.46
Notre Dame,Switzerland,4,7.25
Notre Dame,Taiwan,19,8.13
Notre Dame,Thailand,5,7.42
Notre Dame,Ukraine,1,5.00
Notre Dame,United Kingdom,66,7.59
Notre Dame,USA,436,7.61
Notre Dame,Venezuela,2,10.00
Notre Dame,Wales,1,5.00
Pandemic,Albania,1,5.00
Pandemic,American Samoa,1,5.00
Pandemic,Andorra,1,8.00
Pandemic,Argentina,26,7.99
Pandemic,Australia,138,7.95
Pandemic,Austria,20,7.55
Pandemic,Belarus,3,8.17
Pandemic,Belgium,59,8.00
Pandemic,Bolivia,1,10.00
Pandemic,Brazil,101,8.28
Pandemic,Bulgaria,12,7.42
Pandemic,Canada,505,8.18
Pandemic,Chile,21,8.54
Pandemic,China,29,7.54
Pandemic,Colombia,9,8.56
Pandemic,Costa Rica,4,8.25
Pandemic,Croatia,10,8.23
Pandemic,Czech Republic,21,7.50
Pandemic,Denmark,29,7.68
Pandemic,England,18,7.86
Pandemic,Estonia,10,8.80
Pandemic,Finland,41,7.95
Pandemic,France,39,7.82
Pandemic,Germany,214,8.19
Pandemic,Greece,54,7.80
Pandemic,Guatemala,1,9.00
Pandemic,Guernsey,1,8.50
Pandemic,Honduras,1,8.60
Pandemic,Hong Kong,14,7.72
Pandemic,Hungary,25,8.18
Pandemic,Iceland,4,7.75
Pandemic,India,3,9.00
Pandemic,Indonesia,11,8.82
Pandemic,Iraq,1,9.00
Pandemic,Ireland,15,7.67
Pandemic,Isle of Man,1,8.00
Pandemic,Israel,20,8.28
Pandemic,Italy,61,7.96
Pandemic,Japan,51,7.71
Pandemic,Latvia,6,7.42
Pandemic,Lithuania,19,7.74
Pandemic,Luxembourg,5,8.20
Pandemic,Macedonia,2,7.50
Pandemic,Malaysia,13,7.72
Pandemic,Malta,1,8.00
Pandemic,Mexico,29,8.03
Pandemic,Moldova,2,9.50
Pandemic,Mongolia,1,8.00
Pandemic,Netherlands,58,8.03
Pandemic,New Zealand,33,7.38
Pandemic,Norway,23,8.17
Pandemic,Other-Middle East,1,7.00
Pandemic,Peru,6,7.75
Pandemic,Philippines,12,7.83
Pandemic,Poland,108,7.76
Pandemic,Portugal,28,7.84
Pandemic,Qatar,2,8.00
Pandemic,Romania,21,8.44
Pandemic,Russia,15,7.53
Pandemic,Saudi Arabia,1,7.00
Pandemic,Scotland,9,7.77
Pandemic,Serbia,8,8.38
Pandemic,Singapore,13,8.00
Pandemic,Slovakia,5,7.60
Pandemic,Slovenia,7,8.36
Pandemic,South Africa,9,7.72
Pandemic,South Korea,33,7.72
Pandemic,Spain,182,7.80
Pandemic,Sri Lanka,1,9.00
Pandemic,Sweden,68,7.66
Pandemic,Switzerland,22,8.07
Pandemic,Taiwan,33,8.04
Pandemic,Thailand,15,7.01
Pandemic,Turkey,2,8.50
Pandemic,Turks and Caicos Islands,1,8.00
Pandemic,Uganda,1,8.00
Pandemic,Ukraine,10,8.53
Pandemic,United Kingdom,316,8.24
Pandemic,USA,2731,8.06
Pandemic,Uruguay,3,8.43
Pandemic,Vietnam,2,7.00
Pandemic,Wales,3,8.83
Pandemic Legacy: Season 1,Argentina,5,9.38
Pandemic Legacy: Season 1,Australia,37,9.12
Pandemic Legacy: Season 1,Austria,4,9.25
Pandemic Legacy: Season 1,Belarus,2,9.00
Pandemic Legacy: Season 1,Belgium,10,7.54
Pandemic Legacy: Season 1,Bolivia,1,1.00
Pandemic Legacy: Season 1,Brazil,29,9.17
Pandemic Legacy: Season 1,Bulgaria,2,7.50
Pandemic Legacy: Season 1,Canada,112,9.08
Pandemic Legacy: Season 1,Chile,3,8.67
Pandemic Legacy: Season 1,China,6,9.08
Pandemic Legacy: Season 1,Colombia,5,9.10
Pandemic Legacy: Season 1,Croatia,1,10.00
Pandemic Legacy: Season 1,Czech Republic,4,9.00
Pandemic Legacy: Season 1,Denmark,10,8.44
Pandemic Legacy: Season 1,Ecuador,1,9.00
Pandemic Legacy: Season 1,England,5,8.00
Pandemic Legacy: Season 1,Estonia,2,9.50
Pandemic Legacy: Season 1,Finland,9,8.88
Pandemic Legacy: Season 1,France,6,9.67
Pandemic Legacy: Season 1,Germany,82,8.92
Pandemic Legacy: Season 1,Greece,9,8.69
Pandemic Legacy: Season 1,Hong Kong,4,8.63
Pandemic Legacy: Season 1,Hungary,7,9.29
Pandemic Legacy: Season 1,India,1,10.00
Pandemic Legacy: Season 1,Indonesia,2,8.70
Pandemic Legacy: Season 1,Ireland,4,7.25
Pandemic Legacy: Season 1,Israel,4,8.25
Pandemic Legacy: Season 1,Italy,24,8.23
Pandemic Legacy: Season 1,Japan,11,6.68
Pandemic Legacy: Season 1,Latvia,3,8.33
Pandemic Legacy: Season 1,Lithuania,7,7.43
Pandemic Legacy: Season 1,Luxembourg,2,9.00
Pandemic Legacy: Season 1,Malaysia,2,7.30
Pandemic Legacy: Season 1,Mexico,7,7.90
Pandemic Legacy: Season 1,Moldova,1,10.00
Pandemic Legacy: Season 1,Netherlands,14,8.79
Pandemic Legacy: Season 1,New Zealand,7,8.79
Pandemic Legacy: Season 1,Norway,8,9.05
Pandemic Legacy: Season 1,Philippines,3,7.00
Pandemic Legacy: Season 1,Poland,25,8.80
Pandemic Legacy: Season 1,Portugal,7,9.00
Pandemic Legacy: Season 1,Qatar,1,9.20
Pandemic Legacy: Season 1,Romania,4,9.95
Pandemic Legacy: Season 1,Russia,7,8.71
Pandemic Legacy: Season 1,Scotland,2,7.30
Pandemic Legacy: Season 1,Serbia,1,9.00
Pandemic Legacy: Season 1,Singapore,1,9.50
Pandemic Legacy: Season 1,Slovakia,2,9.50
Pandemic Legacy: Season 1,Slovenia,1,10.00
Pandemic Legacy: Season 1,South Africa,3,9.33
Pandemic Legacy: Season 1,South Korea,6,9.65
Pandemic Legacy: Season 1,Spain,67,9.02
Pandemic Legacy: Season 1,Sweden,14,7.71
Pandemic Legacy: Season 1,Switzerland,6,8.25
Pandemic Legacy: Season 1,Taiwan,7,9.29
Pandemic Legacy: Season 1,Thailand,1,10.00
Pandemic Legacy: Season 1,Turkey,1,9.50
Pandemic Legacy: Season 1,Ukraine,2,10.00
Pandemic Legacy: Season 1,United Kingdom,92,9.07
Pandemic Legacy: Season 1,USA,670,8.84
Pandemic Legacy: Season 1,Venezuela,1,10.00
Pandemic Legacy: Season 1,Wales,1,10.00
Patchwork,American Samoa,1,8.50
Patchwork,Andorra,1,9.00
Patchwork,Argentina,14,8.63
Patchwork,Australia,47,8.04
Patchwork,Austria,7,8.14
Patchwork,Bahrain,1,7.40
Patchwork,Belarus,1,7.00
Patchwork,Belgium,16,8.02
Patchwork,Brazil,30,8.46
Patchwork,Bulgaria,5,7.30
Patchwork,Canada,134,7.78
Patchwork,Chile,12,8.10
Patchwork,China,15,8.29
Patchwork,Colombia,1,10.00
Patchwork,Croatia,3,9.00
Patchwork,Czech Republic,8,8.50
Patchwork,Denmark,13,8.08
Patchwork,Ecuador,1,7.00
Patchwork,England,11,8.18
Patchwork,Estonia,3,7.37
Patchwork,Finland,11,7.87
Patchwork,France,19,8.14
Patchwork,Germany,84,7.67
Patchwork,Greece,26,8.06
Patchwork,Guernsey,1,8.40
Patchwork,Hong Kong,5,7.50
Patchwork,Hungary,11,7.68
Patchwork,Iceland,2,8.25
Patchwork,India,4,8.00
Patchwork,Indonesia,2,8.50
Patchwork,Ireland,7,8.50
Patchwork,Israel,10,8.50
Patchwork,Italy,37,8.09
Patchwork,Japan,27,7.42
Patchwork,Latvia,2,8.88
Patchwork,Lithuania,8,7.88
Patchwork,Luxembourg,1,8.00
Patchwork,Malaysia,1,9.00
Patchwork,Malta,1,7.50
Patchwork,Mexico,11,8.34
Patchwork,Moldova,1,10.00
Patchwork,Netherlands,31,7.72
Patchwork,New Zealand,7,7.29
Patchwork,Norway,11,7.83
Patchwork,Other-Middle East,1,8.00
Patchwork,Peru,2,8.50
Patchwork,Philippines,5,8.20
Patchwork,Poland,57,8.03
Patchwork,Portugal,11,8.02
Patchwork,Romania,9,7.84
Patchwork,Russia,12,7.83
Patchwork,Saudi Arabia,2,6.50
Patchwork,Scotland,3,7.80
Patchwork,Serbia,5,8.26
Patchwork,Singapore,3,8.17
Patchwork,Slovakia,4,8.75
Patchwork,Slovenia,1,7.00
Patchwork,South Africa,4,7.98
Patchwork,South Korea,18,7.94
Patchwork,Spain,119,8.04
Patchwork,Sweden,24,7.65
Patchwork,Switzerland,5,6.70
Patchwork,Taiwan,13,8.08
Patchwork,Thailand,7,7.71
Patchwork,Turkey,1,9.00
Patchwork,Uganda,1,8.00
Patchwork,Ukraine,6,8.47
Patchwork,United Kingdom,84,8.04
Patchwork,USA,569,7.92
Patchwork,Uruguay,1,9.00
Patchwork,Venezuela,1,9.00
Patchwork,Vietnam,3,8.17
Pirate's Cove,Australia,29,7.26
Pirate's Cove,Austria,6,7.50
Pirate's Cove,Belgium,14,6.96
Pirate's Cove,Brazil,10,7.60
Pirate's Cove,Bulgaria,2,7.65
Pirate's Cove,Canada,93,7.08
Pirate's Cove,Chile,1,6.00
Pirate's Cove,China,3,6.17
Pirate's Cove,Croatia,2,8.75
Pirate's Cove,Czech Republic,3,6.67
Pirate's Cove,Denmark,7,7.36
Pirate's Cove,England,7,6.79
Pirate's Cove,Finland,26,7.16
Pirate's Cove,France,14,6.23
Pirate's Cove,Germany,49,6.84
Pirate's Cove,Greece,19,7.65
Pirate's Cove,Hong Kong,5,7.50
Pirate's Cove,Hungary,4,6.63
Pirate's Cove,India,1,6.00
Pirate's Cove,Ireland,2,7.63
Pirate's Cove,Isle of Man,1,9.00
Pirate's Cove,Israel,2,6.25
Pirate's Cove,Italy,18,7.75
